wallet_address,tag,currency,amount,chain,exchange_name
0xbe8bfedb705fee2730ac3ce17855d2338ff23c19,,ETH,0.006,ETH-zkSync Era,okx
0x5dbbbe7e30e8d7477da864d3e07b782b28db050b,,ETH,0.0053,ETH-zkSync Era,okx
0x1b6101b50568a910b6a4fc729dbe45e71283a31b,,ETH,0.0047,ETH-zkSync Era,okx
0xf9f0fe6f202c02aa5dac3cbbc6a492f3d39a10e7,,ETH,0.0048,ETH-zkSync Era,okx
0x14e9561d6944e171de77758fbdf4ea526c4929dc,,ETH,0.0047,ETH-zkSync Era,okx
0x557dc29d1d39e7b1e4058b8738cf7d46d191efb7,,ETH,0.0056,ETH-zkSync Era,okx
0x0c0f07a9757eb34c5acc43cf91a874dd4efcfe6f,,ETH,0.0057,ETH-zkSync Era,okx
0x065ec0f3309f2448bdf6929533c7383e5be5f87d,,ETH,0.0042,ETH-zkSync Era,okx
0x92d01296d13d714375498d7794934d6838468702,,ETH,0.0052,ETH-zkSync Era,okx
0xcfb3cd18d5f2fcbc5eeb26ddc0662d1c09fa0920,,ETH,0.004,ETH-zkSync Era,okx
0xeef04dc482057f9b54103a20b09a8b996b76059f,,ETH,0.0044,ETH-zkSync Era,okx
0x2ad977367dd6eb0cad125f4091c66787be222869,,ETH,0.0052,ETH-zkSync Era,okx
0x22fde753b0fd7a6294596e812c749cb3f2cce6d4,,ETH,0.0045,ETH-zkSync Era,okx
0xdf5c686f107571ca346b4f7a68eafcf26762baa5,,ETH,0.0049,ETH-zkSync Era,okx
0x4c2b6875f4587a68fcbb31eda9ace072a205f745,,ETH,0.0055,ETH-zkSync Era,okx
0x816d8e53602d0de0e1d2ca138902a6360958f3da,,ETH,0.0041,ETH-zkSync Era,okx
0x68542e2aa46261dcdc1e7bfe3227b50e187429fc,,ETH,0.0042,ETH-zkSync Era,okx
0xa76219fd0e9dfc70c0d813f7590bd5dd7ac269c7,,ETH,0.0044,ETH-zkSync Era,okx
0x83381888e94c475da2defce47614aab44703172b,,ETH,0.0047,ETH-zkSync Era,okx
0xe9c7e080cf5e8786f4ed08d2ed760d8564709812,,ETH,0.0054,ETH-zkSync Era,okx
0x91b3210a9e1c6137e29ff5ddda3da68c0ce94747,,ETH,0.0053,ETH-zkSync Era,okx
0x38af41ca67091f8291ed69cf2470961d5b6eb4c8,,ETH,0.0052,ETH-zkSync Era,okx
0x5e798ea544a9f57823ac91a52d3b7a792dda918f,,ETH,0.0043,ETH-zkSync Era,okx
0xdf824c778981204949eafb5948e21ee5a056535a,,ETH,0.0047,ETH-zkSync Era,okx
0xe2a9ed1aa21384e176ca163637fd55eeca0a2639,,ETH,0.0044,ETH-zkSync Era,okx
0xfe201ead7a9a689500860cac04c42bb80526efb7,,ETH,0.0042,ETH-zkSync Era,okx
0xbff7947250983bb7dbda3ddd5fee32d2fe5654f3,,ETH,0.0057,ETH-zkSync Era,okx
0xc67b8074b4eec9da6233169a33d6b1b903335130,,ETH,0.0058,ETH-zkSync Era,okx
0x4f0a7c7346a373742a5293fa7483d256322d3399,,ETH,0.0053,ETH-zkSync Era,okx
0x9bc85d738939e39728b0a016656570ae3a6b4541,,ETH,0.0056,ETH-zkSync Era,okx
0x43738c7b241b39ca9633fe14fe7558e60e0df8f8,,ETH,0.0059,ETH-zkSync Era,okx
0xa87add6a945e63402527330b2d8f875eb70aab66,,ETH,0.006,ETH-zkSync Era,okx
